NAME,DOCK_SC,RMSD_LB,RMSD_UB,LABO_RMSD,HUNG_RMSD,SYMM_RMSD
SIM_1,-6.466,0.0,0.0,3.991,ERROR,ERROR
SIM_2,-6.383,1.867,4.913,3.701,ERROR,ERROR
SIM_3,-6.083,1.753,4.84,3.845,ERROR,ERROR
SIM_4,-6.005,1.556,4.583,4.377,ERROR,ERROR
SIM_5,-6.003,2.777,5.867,6.932,ERROR,ERROR
SIM_6,-5.895,2.557,5.239,2.672,ERROR,ERROR
SIM_7,-5.849,1.996,4.763,3.984,ERROR,ERROR
SIM_8,-5.823,1.469,2.185,5.096,ERROR,ERROR
SIM_9,-5.819,2.216,5.21,0.799,ERROR,ERROR
