
A T O M   T Y P E S

IDX	TYPE	RING
 1800    367.74097    367.74580
 1810    367.69246    367.69734
 1820    367.64353    367.64845
 1830    367.59413    367.59910
 1840    367.54423    367.54925
 1850    367.49380    367.49887
 1860    367.44278    367.44792
 1870    367.39114    367.39634
 1880    367.33882    367.34409
 1890    367.28577    367.29112
 1900    367.23193    367.23736
 1910    367.17723    367.18275
 1920    367.12160    367.12721
 1930    367.06495    367.07067
 1940    367.00721    367.01304
 1950    366.94826    366.95422
 1960    366.88799    366.89409
 1970    366.82632    366.83255
 1980    366.77056    366.77467
 1990    366.73538    366.73878
 2000    366.70127    366.70469
 2010    366.66696    366.67040
 2020    366.63245    366.63591
 2030    366.59771    366.60120
 2040    366.56274    366.56625
 2050    366.52752    366.53106
 2060    366.49203    366.49559
 2070    366.45625    366.45984
 2080    366.42017    366.42379
 2090    366.38376    366.38742
 2100    366.34701    366.35070
 2110    366.30988    366.31361
 2120    366.27236    366.27613
 2130    366.23442    366.23823
 2140    366.19602    366.19989
 2150    366.15714    366.16106
 2160    366.11774    366.12171
 2170    366.07779    366.08182
 2180    366.03724    366.04133
 2190    365.99605    366.00020
 2200    365.95417    365.95839
 2210    365.91154    365.91584
 2220    365.86811    365.87249
 2230    365.82380    365.82828
 2240    365.77856    365.78313
 2250    365.73228    365.73697
 2260    365.68489    365.68969
 2270    365.63627    365.64120
 2280    365.58632    365.59139
 2290    365.53488    365.54011
 2300    365.48182    365.48722
 2310    365.42696    365.43254
 2320    365.37008    365.37588
 2330    365.31096    365.31699
 2340    365.25647    365.26014
 2350    365.22633    365.22925
 2360    365.19697    365.19992
 2370    365.16728    365.17027
 2380    365.13724    365.14027
 2390    365.10684    365.10990
 2400    365.07603    365.07913
 2410    365.04480    365.04795
 2420    365.01312    365.01631
 2430    364.98095    364.98419
 2440    364.94826    364.95156
 2450    364.91502    364.91837
 2460    364.88118    364.88459
 2470    364.84669    364.85017
 2480    364.81151    364.81507
 2490    364.77558    364.77921
 2500    364.73884    364.74256
 2510    364.70122    364.70503
 2520    364.66264    364.66655
 2530    364.62302    364.62704
 2540    364.58225    364.58639
 2550    364.54023    364.54451
 2560    364.49684    364.50125
 2570    364.45191    364.45649
 2580    364.40529    364.41005
 2590    364.35678    364.36174
 2600    364.30615    364.31133
 2610    364.25311    364.25855
 2620    364.19735    364.20308
 2630    364.13850    364.14455
 2640    364.08957    364.09239
 2650    364.06312    364.06576
 2660    364.03646    364.03915
 2670    364.00937    364.01210
 2680    363.98182    363.98460
 2690    363.95378    363.95661
 2700    363.92521    363.92809
 2710    363.89606    363.89901
 2720    363.86630    363.86931
 2730    363.83586    363.83894
 2740    363.80470    363.80786
 2750    363.77275    363.77599
 2760    363.73995    363.74328
 2770    363.70620    363.70963
 2780    363.67143    363.67497
 2790    363.63553    363.63919
 2800    363.59839    363.60217
 2810    363.55987    363.56380
 2820    363.51981    363.52390
 2830    363.47805    363.48232
 2840    363.43435    363.43883
 2850    363.38849    363.39319
 2860    363.34014    363.34512
 2870    363.28896    363.29424
 2880    363.23448    363.24012
 2890    363.17617    363.18222
 2900    363.11807    363.12202
 2910    363.09187    363.09431
 2920    363.06728    363.06976
 2930    363.04219    363.04473
 2940    363.01659    363.01918
 2950    362.99040    362.99305
 2960    362.96360    362.96632
 2970    362.93612    362.93891
 2980    362.90790    362.91076
 2990    362.87887    362.88182
 3000    362.84896    362.85200
 3010    362.81806    362.82121
 3020    362.78609    362.78935
 3030    362.75292    362.75631
 3040    362.71842    362.72195
 3050    362.68244    362.68612
 3060    362.64478    362.64864
 3070    362.60523    362.60929
 3080    362.56353    362.56782
 3090    362.51936    362.52392
 3100    362.47235    362.47721
 3110    362.42201    362.42723
 3120    362.36774    362.37339
 3130    362.30876    362.31493
 3140    362.24632    362.25155
 3150    362.21923    362.22149
 3160    362.19639    362.19871
 3170    362.17305    362.17541
 3180    362.14913    362.15156
 3190    362.12461    362.12710
 3200    362.09940    362.10196
 3210    362.07345    362.07609
 3220    362.04668    362.04940
 3230    362.01900    362.02182
 3240    361.99030    361.99323
 3250    361.96049    361.96353
 3260    361.92941    361.93259
 3270    361.89691    361.90024
 3280    361.86282    361.86632
 3290    361.82690    361.83060
 3300    361.78890    361.79282
 3310    361.74850    361.75267
 3320    361.70529    361.70977
 3330    361.65879    361.66363
 3340    361.60838    361.61365
 3350    361.55322    361.55901
 3360    361.49225    361.49869
 3370    361.43934    361.44162
 3380    361.41816    361.42030
 3390    361.39658    361.39877
 3400    361.37444    361.37669
 3410    361.35169    361.35400
 3420    361.32827    361.33065
 3430    361.30410    361.30656
 3440    361.27910    361.28165
