
A T O M   T Y P E S

IDX	TYPE	RING
 9460    353.81022    353.81024
 9470    353.81006    353.81008
 9480    353.80987    353.80990
 9490    353.80960    353.80964
 9500    353.80908    353.80916
 9510    353.80714    353.80763
 9520    353.80613    353.80614
 9530    353.80599    353.80601
 9540    353.80586    353.80587
 9550    353.80570    353.80572
 9560    353.80549    353.80552
 9570    353.80514    353.80519
 9580    353.80417    353.80436
 9590    353.80190    353.80192
 9600    353.80178    353.80180
 9610    353.80165    353.80166
 9620    353.80147    353.80149
 9630    353.80117    353.80121
 9640    353.80037    353.80053
 9650    353.79837    353.79838
 9660    353.79826    353.79827
 9670    353.79815    353.79816
 9680    353.79801    353.79803
 9690    353.79781    353.79784
 9700    353.79739    353.79746
 9710    353.79459    353.79567
    STEEPEST DESCENT HAS CONVERGED
1 molecule converted
